1000006	Naloxone Hydrochloride 0.4 MG/1 ML Injection Solution	CD	MMX	naloxone	8
1000006	Naloxone Hydrochloride 0.4mg/1mL Solution for injection	CD	GS	naloxone	8
1000006	Naloxone Hydrochloride, 0.4 mg/mL injectable solution	BD	MMSL	naloxone	8
1000290	Codahistine-DH Elixir	BN	MMSL	codahistine	11
10022	Stadol	BN	RXNORM	stadol	6
10022	Stadol	BN	MMSL	stadol	6
10022	Stadol NS	BN	MMSL	stadol	6
1002270	Morphine Sulfate ADD-Vantage	BN	MMSL	morphine	8
1002291	Zodryl AC Adult	BN	MMSL	zodryl ac	9
1007084	chlorpheniramine / hydrocodone / phenylephrine / pseudoephedrine / pyrilamine	MIN	RXNORM	hydrocod	8
1007084	chlorpheniramine / HYDROcodone / phenylephrine / pseudoephedrine / pyrilamine	TMSY	RXNORM	hydrocod	8
1007204	codeine / propyphenazone	MIN	RXNORM	codeine	7
1007238	aconite / codeine / Erysimum preparation	MIN	RXNORM	codeine	7
1007286	ephedrine / ethylmorphine	MIN	RXNORM	morphine	8
1007286	ePHEDrine / ethylmorphine	TMSY	RXNORM	morphine	8
1007293	codeine / potassium	MIN	RXNORM	codeine	7
1007354	chlorpheniramine / dihydrocodeine / phenylephrine / phenylpropanolamine	MIN	RXNORM	codeine	7
1007354	chlorpheniramine/dihydrocodeine/PE/PPA	GN	MMSL	codeine	7
1007383	attapulgite / morphine	MIN	RXNORM	morphine	8
1007477	codeine / ethylmorphine	MIN	RXNORM	codeine	7
1007561	atropine / hydromorphone	MIN	RXNORM	morphone	8
1007561	atropine / HYDROmorphone	TMSY	RXNORM	morphone	8
1007568	codeine / guaiacolsulfonic acid / phenylephrine / promethazine	MIN	RXNORM	codeine	7
1007569	acetaminophen / chlorpheniramine / codeine	MIN	RXNORM	codeine	7
1007569	acetaminophen/chlorpheniramine/codeine	GN	MMSL	codeine	7
1007572	acetaminophen / codeine / guaifenesin / pseudoephedrine	MIN	RXNORM	codeine	7
1007572	acetaminophen / codeine / guaiFENesin / pseudoephedrine	TMSY	RXNORM	codeine	7
1007572	acetaminophen/codeine/guaifenesin/PSE	GN	MMSL	codeine	7
1007650	guaiacolsulfonate / morphine	MIN	RXNORM	morphine	8
1007785	fentanyl / sodium chloride	MIN	RXNORM	fentanyl	8
1007785	fentaNYL / sodium chloride	TMSY	RXNORM	fentanyl	8
1007791	hydrocodone / pheniramine / phenylephrine / phenylpropanolamine / pyrilamine	MIN	RXNORM	hydrocod	8
1007791	HYDROcodone / pheniramine / phenylephrine / phenylpropanolamine / pyrilamine	TMSY	RXNORM	hydrocod	8
1007791	hydrocodone/pheniramine/PE/PPA/pyrilamine	GN	MMSL	hydrocod	8
1007909	naloxone / tilidine	MIN	RXNORM	naloxone	8
1007909	tilidine and naloxone	IN	ATC	naloxone	8
1008059	brompheniramine / codeine / guaifenesin	MIN	RXNORM	codeine	7
