45	19	22	constitutes	SY	SCDC
51	19	6	dose_form_of	SY	DF
16	16	16	has_tradename	SBD	SCD
28	16	16	has_tradename	SY	SCD
20	16	14	constitutes	SBD	SCDC
29	16	4	dose_form_of	SBD	DF
29	14	19	constitutes	SBD	TMSY
43	14	19	constitutes	SY	TMSY
32	14	19	constitutes	TMSY	TMSY
48	14	17	constitutes	BD	SCDC
22	14	14	has_tradename	SBD	TMSY
36	14	14	has_tradename	SY	TMSY
15	14	14	has_tradename	TMSY	SCD
24	14	14	has_tradename	TMSY	TMSY
19	14	11	constitutes	TMSY	SCDC
14	14	9	constitutes	SBD	SBDC
21	14	9	constitutes	SY	SBDC
15	14	9	constitutes	TMSY	SBDC
61	14	6	dose_form_of	BD	DF
28	14	6	inverse_isa	SBD	TMSY
42	14	6	inverse_isa	SY	TMSY
30	14	6	inverse_isa	TMSY	TMSY
29	14	3	dose_form_of	TMSY	DF
14	14	3	inverse_isa	SBD	SBDF
14	14	3	inverse_isa	SBD	SBDFP
21	14	3	inverse_isa	SY	SBDF
21	14	3	inverse_isa	SY	SBDFP
15	14	3	inverse_isa	TMSY	SBDF
15	14	3	inverse_isa	TMSY	SBDFP
25	13	3	inverse_isa	SBD	SBDG
38	13	3	inverse_isa	SY	SBDG
25	13	3	inverse_isa	TMSY	SBDG
13	11	11	constitutes	PSN	SCDC
14	11	7	inverse_isa	SCD	SCDG
20	11	5	dose_form_of	SCD	DF
19	11	4	dose_form_of	PSN	DF
15	10	12	constitutes	SCD	SCDC
120	10	10	has_tradename	BD	CD
48	10	10	has_tradename	BD	CDA
48	10	10	has_tradename	BD	CDC
48	10	10	has_tradename	BD	CDD
30	10	10	has_tradename	BD	SCD
30	10	10	has_tradename	BD	SY
40	10	10	has_tradename	SBD	CD
16	10	10	has_tradename	SBD	CDA
16	10	10	has_tradename	SBD	CDC
16	10	10	has_tradename	SBD	CDD
10	10	10	has_tradename	SBD	SY
84	10	10	has_tradename	SY	CD
34	10	10	has_tradename	SY	CDA
34	10	10	has_tradename	SY	CDC
34	10	10	has_tradename	SY	CDD
22	10	10	has_tradename	SY	SY
27	9	9	has_tradename	BD	PSN
37	9	9	has_tradename	PSN	CD
15	9	9	has_tradename	PSN	CDA
15	9	9	has_tradename	PSN	CDC
15	9	9	has_tradename	PSN	CDD
9	9	9	has_tradename	PSN	PSN
9	9	9	has_tradename	PSN	SCD
9	9	9	has_tradename	PSN	SY
9	9	9	has_tradename	SBD	PSN
21	9	9	has_tradename	SY	PSN
51	8	17	constitutes	BD	TMSY
24	8	8	constitutes	BD	SBDC
48	8	8	has_tradename	BD	TMSY
38	8	8	has_tradename	TMSY	CD
15	8	8	has_tradename	TMSY	CDA
15	8	8	has_tradename	TMSY	CDC
15	8	8	has_tradename	TMSY	CDD
9	8	8	has_tradename	TMSY	SY
21	8	7	inverse_isa	CD	SCDG
48	8	6	inverse_isa	BD	TMSY
34	8	5	dose_form_of	CD	DF
24	8	3	inverse_isa	BD	SBDF
24	8	3	inverse_isa	BD	SBDFP
8	8	1	ingredient_of	SCDC	BN
16	8	1	ingredient_of	SCDC	FN
8	8	1	ingredient_of	SCDC	FSY
8	8	1	ingredient_of	SCDC	GN
16	8	1	ingredient_of	SCDC	IN
16	8	1	ingredient_of	SCDC	PT
8	8	1	ingredient_of	SCDC	SU
16	8	1	ingredient_of	SCDC	SY
14	7	14	constitutes	PSN	TMSY
