RO	ingredient_of	4109	706
RB	has_tradename	3572	1640
RB	inverse_isa	3248	3619
RO	dose_form_of	3099	30
RO	constitutes	2297	1578
RN	isa	2226	2984
RN	tradename_of	1612	5585
RO	consists_of	1224	2553
RO	doseformgroup_of	984	16
RN	form_of	914	971
RO	ingredients_of	510	127
RB	has_form	466	430
RB	has_quantified_form	343	283
RN	quantified_form_of	283	343
RO	precise_ingredient_of	193	23
RO	boss_of	154	54
RO	has_ingredient	100	3504
RB	precise_ingredient_of	69	33
RO	has_ingredients	44	334
RO	part_of	44	33
RO	has_boss	27	442
RO	has_part	22	403
RO	has_precise_ingredient	21	294
RN	has_precise_ingredient	20	652
RB	contained_in	5	5
RN	contains	5	5
RO	reformulated_to	1	1
