RO	ingredient_of	5858	858
RB	has_tradename	5045	1989
RB	inverse_isa	4565	5137
RN	isa	4148	4685
RO	dose_form_of	4137	36
RO	constitutes	2841	1909
RN	tradename_of	2084	7291
RN	form_of	1722	1818
RO	consists_of	1668	3795
RO	doseformgroup_of	1573	20
RB	has_form	1329	1269
RO	ingredients_of	817	195
RO	has_ingredient	451	5523
RO	boss_of	433	107
RB	precise_ingredient_of	389	58
RB	has_quantified_form	367	302
RO	precise_ingredient_of	332	29
RN	quantified_form_of	302	367
RO	has_ingredients	279	1466
RO	part_of	279	101
RN	has_precise_ingredient	37	719
RO	has_boss	35	484
RO	has_precise_ingredient	29	332
RO	has_part	22	403
RN	contains	18	33
RO	reformulated_to	8	8
RO	reformulation_of	8	8
RB	contained_in	5	5
