1010607	buprenorphine / naloxone Sublingual Tablet [Suboxone]
1010608	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet [Suboxone]
1010608	BUPRENORPHINE HYDROCHLORIDE 2 mg / NALOXONE HYDROCHLORIDE 0.5 mg SUBLINGUAL TABLET [Suboxone]
1010608	Buprenorphine/Naloxone 2 MG-0.5 MG Sublingual Tablet [SUBOXONE]
1010608	Suboxone 2 MG / 0.5 MG Sublingual Tablet
1010608	Suboxone 2/0.5 (as buprenorphine HCl / naloxone HCl dihydrate) Sublingual Tablet
1010608	Suboxone 2/0.5 Sublingual Tablet
1010608	Suboxone 2mg-0.5mg Sublingual Tablet
1010608	Suboxone, 2 mg-0.5 mg sublingual tablet
1010609	buprenorphine 8 MG / naloxone 2 MG Sublingual Tablet [Suboxone]
1010609	BUPRENORPHINE HYDROCHLORIDE 8 mg / NALOXONE HYDROCHLORIDE 2 mg SUBLINGUAL TABLET [Suboxone]
1010609	Buprenorphine/Naloxone 8 MG-2 MG Sublingual Tablet [SUBOXONE]
1010609	Suboxone 8 MG / 2 MG Sublingual Tablet
1010609	Suboxone 8/2 (buprenorphine HCl / naloxone HCl dihydrate) Sublingual Tablet
1010609	Suboxone 8/2 Sublingual Tablet
1010609	Suboxone 8mg-2mg Sublingual Tablet
1010609	Suboxone, 8 mg-2 mg sublingual tablet
1012123	chlorcyclizine / codeine / pseudoephedrine
1012123	chlorcyclizine/codeine/pseudoephedrine
1012127	chlorcyclizine / codeine / pseudoephedrine Oral Solution [Notuss-NXD]
1012158	acetaminophen 650 MG / codeine phosphate 30 MG [Cocet]
1012160	acetaminophen 650 MG / codeine phosphate 30 MG Oral Tablet [Cocet]
1012160	Acetaminophen/Codeine Phosphate 650 MG-30 MG Oral Tablet [COCET]
1012160	APAP 650 MG / Codeine Phosphate 30 MG Oral Tablet [Cocet]
1012160	Cocet (APAP 650 MG / codeine phosphate 30 MG) Oral Tablet
1012162	acetaminophen 650 MG / codeine phosphate 60 MG [Cocet]
1012163	acetaminophen / codeine Oral Tablet [Cocet]
1012164	acetaminophen 650 MG / codeine phosphate 60 MG Oral Tablet [Cocet]
1012164	Acetaminophen/Codeine Phosphate 650 MG-60 MG Oral Tablet [COCET PLUS]
1012164	APAP 650 MG / Codeine Phosphate 60 MG Oral Tablet [Cocet]
1012164	Cocet Plus (APAP 650 MG / codeine phosphate 60 MG) Oral Tablet
1012575	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 0.5 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution
1012575	Carbinoxamine Maleate 2mg/5mL, Hydrocodone Bitartrate 2.5mg/5mL, Pseudoephedrine Hydrochloride 30mg/5mL Oral syrup
1012575	Carbinoxamine Maleate/Hydrocodone Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-2.5 MG/5 ML-30 MG/5 ML Oral Liquid
1012575	carbinoxamine/hydrocodone/pseudoephedrine 2 mg-2.5 mg-30 mg/5 mL oral liquid
1012575	hydrocodone bitartrate/carbinoxamine mal/pseudoephedrine HCl 2.5 mg-2 mg-30 mg/5 mL ORAL LIQUID (ML)
1012575	hydrocodone bitartrate/carbinoxamine mal/pseudoephedrine HCl@2.5 mg-2 mg-30 mg/5 mL@ORAL@LIQUID (ML)
1012575	hydrocodone/carbinox/pseudoeph 2.5 mg-2 mg-30 mg/5 mL ORAL LIQUID (ML)
1012727	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution
1012727	carbinoxamine maleate 2 MG / hydrocodone bitartrate 5 MG / pseudoephedrine hydrochloride 30 MG per 5 ML Oral Solution
