1088737	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solution [Despec-PDC]
1088737	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solution [Despec-PDC]
1166798	Centussin Oral Liquid Product
1166799	Centussin Oral Product
1167006	Duohist Oral Liquid Product
1167007	Duohist Oral Product
1167979	Baltussin Oral Liquid Product
1167980	Baltussin Oral Product
1174546	Despec-PDC Oral Liquid Product
1174805	Hydro-Tussin DHC Oral Liquid Product
1174806	Hydro-Tussin DHC Oral Product
1174807	Hydro-Tussin EXP Oral Liquid Product
1174808	Hydro-Tussin EXP Oral Product
1175204	Despec-PDC Oral Product
1178104	Novahistine DH Reformulated Oct 2008 Oral Liquid Product
1178105	Novahistine DH Reformulated Oct 2008 Oral Product
1179687	Trezix Oral Product
1179688	Trezix Pill
1179945	Pancof EXP Oral Liquid Product
1179946	Pancof EXP Oral Product
1179951	Pancof Oral Liquid Product
1180562	Pancof Oral Product
1180567	Pancof-PD Oral Liquid Product
1180568	Pancof-PD Oral Product
1181210	Panlor DC Reformulated Jan 2008 Oral Product
1181211	Panlor DC Reformulated Jan 2008 Pill
1181214	Panlor SS Oral Product
1181215	Panlor SS Pill
1182978	Poly Tussin EX Oral Liquid Product
1182979	Poly Tussin EX Oral Product
1182991	Poly-Tussin DHC Oral Liquid Product
1182992	Poly-Tussin DHC Oral Product
1186049	Synalgos-DC Oral Product
1186050	Synalgos-DC Pill
1187952	Welltuss Exp Oral Liquid Product
1187953	Welltuss Exp Oral Product
1234861	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.5 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution
1234861	chlorpheniramine maleate 2 MG / dihydrocodeine bitartrate 7.5 MG / pseudoephedrine hydrochloride 15 MG per 5 ML Oral Solution
1234861	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-7.5 MG/5 ML-15 MG/5 ML Oral Solution
1234861	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-7.5 MG/5 ML-15 MG/5 ML Oral Solution [DIHYDRO-CP]
1234861	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-7.5 MG/5 ML-15 MG/5 ML Oral Solution [UNI COF]
1234861	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-7.5 MG/5 ML-15 MG/5 ML Oral Syrup
1234861	chlorpheniramine/dihydrocodeine/PSE 2 mg-7.5 mg-15 mg/5 mL oral syrup
1234861	dihydrocodeine bitart/chlorpheniramine mal/pseudoephedrine 7.5 mg-2 mg-15 mg/5 mL ORAL SYRUP
1234861	dihydrocodeine bitart/chlorpheniramine mal/pseudoephedrine@7.5 mg-2 mg-15 mg/5 mL@ORAL@SYRUP
1234861	dihydrocodeine/cpm/pseudoephed 7.5 mg-2 mg-15 mg/5 mL ORAL SYRUP
1234862	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.5 MG/ML / pseudoephedrine hydrochloride 3 MG/ML [Hydro-Tussin DHC]
1234865	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.5 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution [Hydro-Tussin DHC]
1234865	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-7.5 MG/5 ML-15 MG/5 ML Oral Solution [HYDRO-TUSSIN DHC]
1234865	Hydro-Tussin DHC (chlorpheniramine maleate 2 MG / dihydrocodeine bitartrate 7.5 MG / pseudoephedrine hydrochloride 15 MG) per 5 ML Oral Solution
1234865	Hydro-Tussin DHC 2mg-7.5mg-15mg/5ml Solution
1234865	Hydro-Tussin DHC, 2 mg-7.5 mg-15 mg/5 mL oral syrup
1234866	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.5 MG/ML / pseudoephedrine hydrochloride 3 MG/ML [ColdCough]
1234869	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.5 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution [ColdCough]
1234869	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Pseudoephedrine Hydrochloride 2 MG/5 ML-7.5 MG/5 ML-15 MG/5 ML Oral Solution [COLDCOUGH]
1234869	ColdCough (chlorpheniramine maleate 2 MG / dihydrocodeine bitartrate 7.5 MG / pseudoephedrine hydrochloride 15 MG) per 5 ML Oral Solution
1234870	dihydrocodeine bitartrate 1.5 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution
1234870	dihydrocodeine bitartrate 7.5 MG / guaifenesin 100 MG / pseudoephedrine hydrochloride 15 MG per 5 ML Oral Solution
1234870	Dihydrocodeine Bitartrate/Guaifenesin/Pseudoephedrine Hydrochloride 7.5 MG/5 ML-100 MG/5 ML-15 MG/5 ML Oral Solution
1234870	Dihydrocodeine Bitartrate/Guaifenesin/Pseudoephedrine Hydrochloride 7.5 MG/5 ML-100 MG/5 ML-15 MG/5 ML Oral Solution [DIHYDRO-GP]
1234870	Dihydrocodeine Bitartrate/Guaifenesin/Pseudoephedrine Hydrochloride 7.5 MG/5 ML-100 MG/5 ML-15 MG/5 ML Oral Solution [UNI COF EXP]
1234870	Dihydrocodeine Bitartrate/Guaifenesin/Pseudoephedrine Hydrochloride 7.5 MG/5 ML-100 MG/5 ML-15 MG/5 ML Oral Syrup
1234870	dihydrocodeine/guaifenesin/pseudoephedrine 7.5 mg-100 mg-15 mg/5 mL oral syrup
1234870	guaifenesin/pseudoephedrine HCl/dihydrocodeine 100 mg-15 mg-7.5 mg/5 mL ORAL SYRUP
1234870	guaifenesin/pseudoephedrine HCl/dihydrocodeine@100 mg-15 mg-7.5 mg/5 mL@ORAL@SYRUP
1234874	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.45 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution
1234874	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Phenylephrine Hydrochloride 2 MG/5 ML-7.25 MG/5 ML-5 MG/5 ML Oral Solution
1234874	chlorpheniramine/dihydrocodeine/phenylephrine 2 mg-7.25 mg-5 mg/5 mL oral liquid
1234874	phenylephrine HCl/dihydrocodeine bitartrate/chlorpheniramine 5 mg-7.25 mg-2 mg/5 mL ORAL LIQUID (ML)
1234874	phenylephrine HCl/dihydrocodeine bitartrate/chlorpheniramine@5 mg-7.25 mg-2 mg/5 mL@ORAL@LIQUID (ML)
1234874	phenylephrine/dhcodeine bt/cpm 5 mg-7.25 mg-2 mg/5 mL ORAL LIQUID (ML)
1234875	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.45 MG/ML / phenylephrine hydrochloride 1 MG/ML [Novahistine DH Reformulated Oct 2008]
1234878	chlorpheniramine maleate 0.4 MG/ML / dihydrocodeine bitartrate 1.45 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Novahistine DH Reformulated Oct 2008]
1234878	Chlorpheniramine Maleate/Dihydrocodeine Bitartrate/Phenylephrine Hydrochloride 2 MG/5 ML-7.25 MG/5 ML-5 MG/5 ML Oral Solution [NOVAHISTINE DH]
1234878	Novahistine DH (obsolete), 2 mg-7.25 mg-5 mg/5 mL oral liquid
1234878	Novahistine DH 7.25mg-2mg-5mg/5ml Liquid
1234878	Novahistine DH Reformulated Oct 2008 (chlorpheniramine maleate 2 MG / dihydrocodeine bitartrate 7.25 MG / phenylephrine hydrochloride 5 MG) per 5 ML Oral Solution
